disorder_group,ICD10_Code,description,flag
Anxiety Disorders,F40.00,"Agoraphobia, unspecified",originalCodes
Anxiety Disorders,F40.01,Agoraphobia with panic disorder,originalCodes
Anxiety Disorders,F40.02,Agoraphobia without panic disorder,originalCodes
Anxiety Disorders,F40.10,"Social phobia, unspecified",originalCodes
Anxiety Disorders,F40.11,"Social phobia, generalized",originalCodes
Anxiety Disorders,F40.210,Arachnophobia,originalCodes
Anxiety Disorders,F40.218,Other animal type phobia,originalCodes
Anxiety Disorders,F40.220,Fear of thunderstorms,originalCodes
Anxiety Disorders,F40.228,Other natural environment type phobia,originalCodes
Anxiety Disorders,F40.230,Fear of blood,originalCodes
Anxiety Disorders,F40.231,Fear of injections and transfusions,originalCodes
Anxiety Disorders,F40.232,Fear of other medical care,originalCodes
Anxiety Disorders,F40.233,Fear of injury,originalCodes
Anxiety Disorders,F40.240,Claustrophobia,originalCodes
Anxiety Disorders,F40.241,Acrophobia,originalCodes
Anxiety Disorders,F40.242,Fear of bridges,originalCodes
Anxiety Disorders,F40.243,Fear of flying,originalCodes
Anxiety Disorders,F40.248,Other situational type phobia,originalCodes
Anxiety Disorders,F40.290,Androphobia,originalCodes
Anxiety Disorders,F40.291,Gynephobia,originalCodes
Anxiety Disorders,F40.298,Other specified phobia,originalCodes
Anxiety Disorders,F40.8,Other phobic anxiety disorders,originalCodes
Anxiety Disorders,F40.9,"Phobic anxiety disorder, unspecified",originalCodes
Anxiety Disorders,F41.0,Panic disorder [episodic paroxysmal anxiety] without agoraphobia,originalCodes
Anxiety Disorders,F41.1,Generalized anxiety disorder,originalCodes
Anxiety Disorders,F41.3,Other mixed anxiety disorders,originalCodes
Anxiety Disorders,F41.8,Other specified anxiety disorders,originalCodes
Anxiety Disorders,F41.9,"Anxiety disorder, unspecified",originalCodes
Anxiety Disorders,F93.0,Separation anxiety disorder of childhood,originalCodes
Anxiety Disorders,F94.0,Selective mutism,originalCodes
Bipolar and Related Disorders,F30.10,"Manic episode without psychotic symptoms, unspecified",originalCodes
Bipolar and Related Disorders,F30.11,"Manic episode without psychotic symptoms, mild",originalCodes
Bipolar and Related Disorders,F30.12,"Manic episode without psychotic symptoms, moderate",originalCodes
Bipolar and Related Disorders,F30.13,"Manic episode, severe, without psychotic symptoms",originalCodes
Bipolar and Related Disorders,F30.2,"Manic episode, severe with psychotic symptoms",originalCodes
Bipolar and Related Disorders,F30.3,Manic episode in partial remission,originalCodes
Bipolar and Related Disorders,F30.4,Manic episode in full remission,originalCodes
Bipolar and Related Disorders,F30.8,Other manic episodes,originalCodes
Bipolar and Related Disorders,F30.9,"Manic episode, unspecified",originalCodes
Bipolar and Related Disorders,F31.0,"Bipolar disorder, current episode hypomanic",originalCodes
Bipolar and Related Disorders,F31.10,"Bipolar disorder, current episode manic without psychotic features, unspecified",originalCodes
Bipolar and Related Disorders,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",originalCodes
Bipolar and Related Disorders,F31.12,"Bipolar disorder, current episode manic without psychotic features, moderate",originalCodes
Bipolar and Related Disorders,F31.13,"Bipolar disorder, current episode manic without psychotic features, severe",originalCodes
Bipolar and Related Disorders,F31.2,"Bipolar disorder, current episode manic severe with psychotic features",originalCodes
Bipolar and Related Disorders,F31.30,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",originalCodes
Bipolar and Related Disorders,F31.31,"Bipolar disorder, current episode depressed, mild",originalCodes
Bipolar and Related Disorders,F31.32,"Bipolar disorder, current episode depressed, moderate",originalCodes
Bipolar and Related Disorders,F31.4,"Bipolar disorder, current episode depressed, severe, without psychotic features",originalCodes
Bipolar and Related Disorders,F31.5,"Bipolar disorder, current episode depressed, severe, with psychotic features",originalCodes
Bipolar and Related Disorders,F31.60,"Bipolar disorder, current episode mixed, unspecified",originalCodes
Bipolar and Related Disorders,F31.61,"Bipolar disorder, current episode mixed, mild",originalCodes
Bipolar and Related Disorders,F31.62,"Bipolar disorder, current episode mixed, moderate",originalCodes
Bipolar and Related Disorders,F31.63,"Bipolar disorder, current episode mixed, severe, without psychotic features",originalCodes
Bipolar and Related Disorders,F31.64,"Bipolar disorder, current episode mixed, severe, with psychotic features",originalCodes
Bipolar and Related Disorders,F31.70,"Bipolar disorder, currently in remission, most recent episode unspecified",originalCodes
Bipolar and Related Disorders,F31.71,"Bipolar disorder, in partial remission, most recent episode hypomanic",originalCodes
Bipolar and Related Disorders,F31.72,"Bipolar disorder, in full remission, most recent episode hypomanic",originalCodes
Bipolar and Related Disorders,F31.73,"Bipolar disorder, in partial remission, most recent episode manic",originalCodes
Bipolar and Related Disorders,F31.74,"Bipolar disorder, in full remission, most recent episode manic",originalCodes
Bipolar and Related Disorders,F31.75,"Bipolar disorder, in partial remission, most recent episode depressed",originalCodes
Bipolar and Related Disorders,F31.76,"Bipolar disorder, in full remission, most recent episode depressed",originalCodes
Bipolar and Related Disorders,F31.77,"Bipolar disorder, in partial remission, most recent episode mixed",originalCodes
Bipolar and Related Disorders,F31.78,"Bipolar disorder, in full remission, most recent episode mixed",originalCodes
